Station_ID,Address,Latitude,Longitude,Location_Type,ddName,Municipality,County,Marker_Color,Marker_Size,Description
57,14ο ΧΛΜ ΘΗΒΩΝ -ΛΕΒΑΔΕΙΑΣ -ΒΟΙΩΤΙΑ,38.348431,23.1721882,ROOFTOP,Δ.Δ.Βαγίων,ΔΗΜΟΣ ΒΑΓΙΩΝ,ΒΟΙΩΤΙΑΣ,green,small,"Station ID: 57
Location Type: ROOFTOP
Address: 14ο ΧΛΜ ΘΗΒΩΝ -ΛΕΒΑΔΕΙΑΣ -ΒΟΙΩΤΙΑ
Municipality: ΔΗΜΟΣ ΒΑΓΙΩΝ
County: ΒΟΙΩΤΙΑΣ
Coordinates: 38.348431, 23.172188"
65,"110o ΧΛΜ ΑΘΗΝΩΝ-ΘΕΣΣΑΛΟΝΙΚΗΣ, ΚΑΣΤΡΟ",38.4922807,23.1643246,ROOFTOP,Δ.Δ.Θηβαίων,ΔΗΜΟΣ ΘΗΒΑΙΩΝ,ΒΟΙΩΤΙΑΣ,green,small,"Station ID: 65
Location Type: ROOFTOP
Address: 110o ΧΛΜ ΑΘΗΝΩΝ-ΘΕΣΣΑΛΟΝΙΚΗΣ, ΚΑΣΤΡΟ
Municipality: ΔΗΜΟΣ ΘΗΒΑΙΩΝ
County: ΒΟΙΩΤΙΑΣ
Coordinates: 38.492281, 23.164325"
66,1ο ΧΛΜ  Π.Ε.Ο. ΘΗΒΩΝ - ΑΘΗΝΩΝ,38.3062943,23.3193411,ROOFTOP,Δ.Δ.Θηβαίων,ΔΗΜΟΣ ΘΗΒΑΙΩΝ,ΒΟΙΩΤΙΑΣ,green,small,"Station ID: 66
Location Type: ROOFTOP
Address: 1ο ΧΛΜ  Π.Ε.Ο. ΘΗΒΩΝ - ΑΘΗΝΩΝ
Municipality: ΔΗΜΟΣ ΘΗΒΑΙΩΝ
County: ΒΟΙΩΤΙΑΣ
Coordinates: 38.306294, 23.319341"
68,90 ΧΛΜ Ε.Ο ΑΘΗΝΩΝ-ΛΑΜΙΑΣ,38.3753796,23.2687961,ROOFTOP,Δ.Δ.Θηβαίων,ΔΗΜΟΣ ΘΗΒΑΙΩΝ,ΒΟΙΩΤΙΑΣ,green,small,"Station ID: 68
Location Type: ROOFTOP
Address: 90 ΧΛΜ Ε.Ο ΑΘΗΝΩΝ-ΛΑΜΙΑΣ
Municipality: ΔΗΜΟΣ ΘΗΒΑΙΩΝ
County: ΒΟΙΩΤΙΑΣ
Coordinates: 38.375380, 23.268796"
71,56 ΧΛΜ. Π.ΕΘ.ΟΔ. ΑΘΗΝΩΝ-ΛΑΜΙΑΣ,38.3138494,23.636008,ROOFTOP,Δ.Δ.Οινοφύτων,ΔΗΜΟΣ ΟΙΝΟΦΥΤΩΝ,ΒΟΙΩΤΙΑΣ,green,small,"Station ID: 71
Location Type: ROOFTOP
Address: 56 ΧΛΜ. Π.ΕΘ.ΟΔ. ΑΘΗΝΩΝ-ΛΑΜΙΑΣ
Municipality: ΔΗΜΟΣ ΟΙΝΟΦΥΤΩΝ
County: ΒΟΙΩΤΙΑΣ
Coordinates: 38.313849, 23.636008"
73,"2 ΧΛΜ ΟΡΧΟΜΕΝΟΥ-ΚΑΣΤΡΟΥ, ΟΡΧΟΜΕΝΟΣ ΒΟΙΩΤΙΑΣ",38.495358,23.0012897,ROOFTOP,Δ.Δ.Αγίου Δημητρίου,ΔΗΜΟΣ ΟΡΧΟΜΕΝΟΥ,ΒΟΙΩΤΙΑΣ,green,small,"Station ID: 73
Location Type: ROOFTOP
Address: 2 ΧΛΜ ΟΡΧΟΜΕΝΟΥ-ΚΑΣΤΡΟΥ, ΟΡΧΟΜΕΝΟΣ ΒΟΙΩΤΙΑΣ
Municipality: ΔΗΜΟΣ ΟΡΧΟΜΕΝΟΥ
County: ΒΟΙΩΤΙΑΣ
Coordinates: 38.495358, 23.001290"
80,"58+600 ΧΛΜ Ε.Ο. ΑΘΗΝΩΝ-ΛΑΜΙΑΣ ,ΔΙΟΔΙΑ ΣΧΗΜΑΤΑΡΙΟΥ",38.3311141,23.6021239,ROOFTOP,Δ.Δ.Σχηματαρίου,ΔΗΜΟΣ ΣΧΗΜΑΤΑΡΙΟΥ,ΒΟΙΩΤΙΑΣ,green,small,"Station ID: 80
Location Type: ROOFTOP
Address: 58+600 ΧΛΜ Ε.Ο. ΑΘΗΝΩΝ-ΛΑΜΙΑΣ ,ΔΙΟΔΙΑ ΣΧΗΜΑΤΑΡΙΟΥ
Municipality: ΔΗΜΟΣ ΣΧΗΜΑΤΑΡΙΟΥ
County: ΒΟΙΩΤΙΑΣ
Coordinates: 38.331114, 23.602124"
95,"5ο χλμ. ΧΑΛΚΙΔΟΣ-ΣΧΗΜΑΤΑΡΙΟΥ, ΑΥΛΙΔΑ, ΧΑΛΚΙΔΑ  2221031806",38.3889017,23.5929247,ROOFTOP,Δ.Δ.Βαθέος,ΔΗΜΟΣ ΑΥΛΙΔΟΣ,ΕΥΒΟΙΑΣ,green,small,"Station ID: 95
Location Type: ROOFTOP
Address: 5ο χλμ. ΧΑΛΚΙΔΟΣ-ΣΧΗΜΑΤΑΡΙΟΥ, ΑΥΛΙΔΑ, ΧΑΛΚΙΔΑ  2221031806
Municipality: ΔΗΜΟΣ ΑΥΛΙΔΟΣ
County: ΕΥΒΟΙΑΣ
Coordinates: 38.388902, 23.592925"
110,8 ΧΛΜ ΧΑΛΚΙΔΑΣ-ΒΑΣΙΛΙΚΟΥ,38.4309173,23.6565927,ROOFTOP,Δ.Δ.Βασιλικού,ΔΗΜΟΣ ΛΗΛΑΝΤΙΩΝ,ΕΥΒΟΙΑΣ,green,small,"Station ID: 110
Location Type: ROOFTOP
Address: 8 ΧΛΜ ΧΑΛΚΙΔΑΣ-ΒΑΣΙΛΙΚΟΥ
Municipality: ΔΗΜΟΣ ΛΗΛΑΝΤΙΩΝ
County: ΕΥΒΟΙΑΣ
Coordinates: 38.430917, 23.656593"
121,3ο ΧΛΜ ΠΕΟ ΛΑΜΙΑΣ-ΔΟΜΟΚΟΥ,38.9236111,22.4347228,ROOFTOP,Δ.Δ.Λαμιέων,ΔΗΜΟΣ ΛΑΜΙΕΩΝ,ΦΘΙΩΤΙΔΟΣ,green,small,"Station ID: 121
Location Type: ROOFTOP
Address: 3ο ΧΛΜ ΠΕΟ ΛΑΜΙΑΣ-ΔΟΜΟΚΟΥ
Municipality: ΔΗΜΟΣ ΛΑΜΙΕΩΝ
County: ΦΘΙΩΤΙΔΟΣ
Coordinates: 38.923611, 22.434723"
122,2 ΧΙΛ ΠΕΟ ΛΑΜΙΑΣ ΣΤΥΛΙΔΑΣ,38.8974982,22.4635685,ROOFTOP,Δ.Δ.Λαμιέων,ΔΗΜΟΣ ΛΑΜΙΕΩΝ,ΦΘΙΩΤΙΔΟΣ,green,small,"Station ID: 122
Location Type: ROOFTOP
Address: 2 ΧΙΛ ΠΕΟ ΛΑΜΙΑΣ ΣΤΥΛΙΔΑΣ
Municipality: ΔΗΜΟΣ ΛΑΜΙΕΩΝ
County: ΦΘΙΩΤΙΔΟΣ
Coordinates: 38.897498, 22.463569"
125,"3 ΧΛΜ.ΛΑΜΙΑΣ-ΑΘΗΝΑΣ, ΛΑΜΙΑ",38.8745675,22.455915,ROOFTOP,Δ.Δ.Ροδίτσης,ΔΗΜΟΣ ΛΑΜΙΕΩΝ,ΦΘΙΩΤΙΔΟΣ,green,small,"Station ID: 125
Location Type: ROOFTOP
Address: 3 ΧΛΜ.ΛΑΜΙΑΣ-ΑΘΗΝΑΣ, ΛΑΜΙΑ
Municipality: ΔΗΜΟΣ ΛΑΜΙΕΩΝ
County: ΦΘΙΩΤΙΔΟΣ
Coordinates: 38.874567, 22.455915"
127,"208 ΧΛΜ ΑΘΗΝΩΝ-ΛΑΜΙΑΣ ΑΛΑΜΑΝΑ, ΛΑΜΙΑ",38.8629645,22.4618961,ROOFTOP,Δ.Δ.Ροδίτσης,ΔΗΜΟΣ ΛΑΜΙΕΩΝ,ΦΘΙΩΤΙΔΟΣ,green,small,"Station ID: 127
Location Type: ROOFTOP
Address: 208 ΧΛΜ ΑΘΗΝΩΝ-ΛΑΜΙΑΣ ΑΛΑΜΑΝΑ, ΛΑΜΙΑ
Municipality: ΔΗΜΟΣ ΛΑΜΙΕΩΝ
County: ΦΘΙΩΤΙΔΟΣ
Coordinates: 38.862964, 22.461896"
131,"Παράπλευρη Οδός Ν.Ε.Ο. Αθηνών - Λαμίας  (180ο χλμ), ΚΑΜΜΕΝΑ ΒΟΥΡΛΑ",38.7806018,22.7132648,ROOFTOP,Δ.Δ.Καινουργίου,ΔΗΜΟΣ ΚΑΜΕΝΩΝ ΒΟΥΡΛΩΝ,ΦΘΙΩΤΙΔΟΣ,green,small,"Station ID: 131
Location Type: ROOFTOP
Address: Παράπλευρη Οδός Ν.Ε.Ο. Αθηνών - Λαμίας  (180ο χλμ), ΚΑΜΜΕΝΑ ΒΟΥΡΛΑ
Municipality: ΔΗΜΟΣ ΚΑΜΕΝΩΝ ΒΟΥΡΛΩΝ
County: ΦΘΙΩΤΙΔΟΣ
Coordinates: 38.780602, 22.713265"
133,16o ΧΛΜ Ε.Ο ΛΑΜΙΑΣ - ΚΑΡΠΕΝΗΣΙΟΥ,38.9258821,22.269153,ROOFTOP,Δ.Δ.Ζηλευτού,ΔΗΜΟΣ ΛΕΙΑΝΟΚΛΑΔΙΟΥ,ΦΘΙΩΤΙΔΟΣ,green,small,"Station ID: 133
Location Type: ROOFTOP
Address: 16o ΧΛΜ Ε.Ο ΛΑΜΙΑΣ - ΚΑΡΠΕΝΗΣΙΟΥ
Municipality: ΔΗΜΟΣ ΛΕΙΑΝΟΚΛΑΔΙΟΥ
County: ΦΘΙΩΤΙΔΟΣ
Coordinates: 38.925882, 22.269153"
139,"250 ΧΛΜ.ΕΟ ΑΘΗΝΩΝ-ΘΕΣ/ΝΙΚΗΣ, ΔΙΟΔΙΑ ΠΕΛΑΣΓΙΑ",38.9220894,22.8495781,ROOFTOP,Δ.Δ.Πελασγίας,ΔΗΜΟΣ ΠΕΛΑΣΓΙΑΣ,ΦΘΙΩΤΙΔΟΣ,green,small,"Station ID: 139
Location Type: ROOFTOP
Address: 250 ΧΛΜ.ΕΟ ΑΘΗΝΩΝ-ΘΕΣ/ΝΙΚΗΣ, ΔΙΟΔΙΑ ΠΕΛΑΣΓΙΑ
Municipality: ΔΗΜΟΣ ΠΕΛΑΣΓΙΑΣ
County: ΦΘΙΩΤΙΔΟΣ
Coordinates: 38.922089, 22.849578"
140,11ο ΧΛΜ ΛΑΜΙΑΣ ΣΤΥΛΙΔΑΣ,38.9054982,22.5528181,ROOFTOP,Δ.Δ.Αυλακίου,ΔΗΜΟΣ ΣΤΥΛΙΔΟΣ,ΦΘΙΩΤΙΔΟΣ,green,small,"Station ID: 140
Location Type: ROOFTOP
Address: 11ο ΧΛΜ ΛΑΜΙΑΣ ΣΤΥΛΙΔΑΣ
Municipality: ΔΗΜΟΣ ΣΤΥΛΙΔΟΣ
County: ΦΘΙΩΤΙΔΟΣ
Coordinates: 38.905498, 22.552818"
141,11χιλ Ν.Ε.Ο ΛΑΜΙΑΣ-ΛΑΡΙΣΑΣ -ΦΘΙΩΤΙΔΑ,38.9027135,22.5614683,ROOFTOP,Δ.Δ.Αυλακίου,ΔΗΜΟΣ ΣΤΥΛΙΔΟΣ,ΦΘΙΩΤΙΔΟΣ,green,small,"Station ID: 141
Location Type: ROOFTOP
Address: 11χιλ Ν.Ε.Ο ΛΑΜΙΑΣ-ΛΑΡΙΣΑΣ -ΦΘΙΩΤΙΔΑ
Municipality: ΔΗΜΟΣ ΣΤΥΛΙΔΟΣ
County: ΦΘΙΩΤΙΔΟΣ
Coordinates: 38.902713, 22.561468"
160,"10ο ΧΛΜ. ΑΡΓΟΥΣ -ΣΤΕΡΝΑΣ, ΑΡΓΟΣ",37.6865507,22.6614,ROOFTOP,Δ.Δ.Άργους,ΔΗΜΟΣ ΑΡΓΟΥΣ,ΑΡΓΟΛΙΔΟΣ,green,small,"Station ID: 160
Location Type: ROOFTOP
Address: 10ο ΧΛΜ. ΑΡΓΟΥΣ -ΣΤΕΡΝΑΣ, ΑΡΓΟΣ
Municipality: ΔΗΜΟΣ ΑΡΓΟΥΣ
County: ΑΡΓΟΛΙΔΟΣ
Coordinates: 37.686551, 22.661400"
161,1οΧΛΜ ΕΘΝΙΚΗΣ ΟΔΟΥΣ ΑΡΓΟΥΣ ΚΟΡΙΝΘΟΥ,37.657145,22.7267993,ROOFTOP,Δ.Δ.Άργους,ΔΗΜΟΣ ΑΡΓΟΥΣ,ΑΡΓΟΛΙΔΟΣ,green,small,"Station ID: 161
Location Type: ROOFTOP
Address: 1οΧΛΜ ΕΘΝΙΚΗΣ ΟΔΟΥΣ ΑΡΓΟΥΣ ΚΟΡΙΝΘΟΥ
Municipality: ΔΗΜΟΣ ΑΡΓΟΥΣ
County: ΑΡΓΟΛΙΔΟΣ
Coordinates: 37.657145, 22.726799"
170,"9οΧΛΜ ΑΡΓΟΥΣ-ΚΑΡΥΑΣ,ΧΟΥΝΗ",37.6283804,22.6460811,ROOFTOP,Δ.Δ.Καρυάς,ΔΗΜΟΣ ΛΥΡΚΕΙΑΣ,ΑΡΓΟΛΙΔΟΣ,green,small,"Station ID: 170
Location Type: ROOFTOP
Address: 9οΧΛΜ ΑΡΓΟΥΣ-ΚΑΡΥΑΣ,ΧΟΥΝΗ
Municipality: ΔΗΜΟΣ ΛΥΡΚΕΙΑΣ
County: ΑΡΓΟΛΙΔΟΣ
Coordinates: 37.628380, 22.646081"
175,5ο ΧΛΜ Ε.Ο. ΤΡΙΠΟΛΗΣ - ΣΠΑΡΤΗΣ - ΤΡΙΠΟΛΗ ΑΡΚΑΔΙΑΣ,37.4767048,22.4003818,ROOFTOP,Δ.Δ.Τριπόλεως,ΔΗΜΟΣ ΤΡΙΠΟΛΕΩΣ,ΑΡΚΑΔΙΑΣ,green,small,"Station ID: 175
Location Type: ROOFTOP
Address: 5ο ΧΛΜ Ε.Ο. ΤΡΙΠΟΛΗΣ - ΣΠΑΡΤΗΣ - ΤΡΙΠΟΛΗ ΑΡΚΑΔΙΑΣ
Municipality: ΔΗΜΟΣ ΤΡΙΠΟΛΕΩΣ
County: ΑΡΚΑΔΙΑΣ
Coordinates: 37.476705, 22.400382"
179,5ΧΛΜ Π.Ε.Ο.ΤΡΙΠΟΛΗΣ ΑΡΓΟΥΣ,37.4963009,22.43596,ROOFTOP,Δ.Δ.Στενού,ΔΗΜΟΣ ΚΟΡΥΘΙΟΥ,ΑΡΚΑΔΙΑΣ,green,small,"Station ID: 179
Location Type: ROOFTOP
Address: 5ΧΛΜ Π.Ε.Ο.ΤΡΙΠΟΛΗΣ ΑΡΓΟΥΣ
Municipality: ΔΗΜΟΣ ΚΟΡΥΘΙΟΥ
County: ΑΡΚΑΔΙΑΣ
Coordinates: 37.496301, 22.435960"
223,ΝΕΟ ΑΘΗΝΩΝ ΠΑΤΡΩΝ 175 ΧΛΜ ΑΡΙΣΤΕΡΑ,38.2352082,22.078664,ROOFTOP,Δ.Δ.Κουλούρας,ΔΗΜΟΣ ΑΙΓΙΟΥ,ΑΧΑΪΑΣ,green,small,"Station ID: 223
Location Type: ROOFTOP
Address: ΝΕΟ ΑΘΗΝΩΝ ΠΑΤΡΩΝ 175 ΧΛΜ ΑΡΙΣΤΕΡΑ
Municipality: ΔΗΜΟΣ ΑΙΓΙΟΥ
County: ΑΧΑΪΑΣ
Coordinates: 38.235208, 22.078664"
224,175 ΧΙΛ ΝΕΟ ΑΘΗΝΑ ΠΑΤΡΑ,38.2354041,22.0798495,ROOFTOP,Δ.Δ.Κουλούρας,ΔΗΜΟΣ ΑΙΓΙΟΥ,ΑΧΑΪΑΣ,green,small,"Station ID: 224
Location Type: ROOFTOP
Address: 175 ΧΙΛ ΝΕΟ ΑΘΗΝΑ ΠΑΤΡΑ
Municipality: ΔΗΜΟΣ ΑΙΓΙΟΥ
County: ΑΧΑΪΑΣ
Coordinates: 38.235404, 22.079850"
229,2ο χλμ ΚΑΛΑΒΡΥΤΩΝ-ΠΑΤΡΩΝ-ΚΑΛΑΒΡΥΤΑ,38.0345024,22.0918664,ROOFTOP,Δ.Δ.Καλαβρύτων,ΔΗΜΟΣ ΚΑΛΑΒΡΥΤΩΝ,ΑΧΑΪΑΣ,green,small,"Station ID: 229
Location Type: ROOFTOP
Address: 2ο χλμ ΚΑΛΑΒΡΥΤΩΝ-ΠΑΤΡΩΝ-ΚΑΛΑΒΡΥΤΑ
Municipality: ΔΗΜΟΣ ΚΑΛΑΒΡΥΤΩΝ
County: ΑΧΑΪΑΣ
Coordinates: 38.034502, 22.091866"
234,9 ΧΙΛ ΠΕΟ ΡΟΙΤΙΚΑ ΠΑΤΡΩΝ,38.1825927,21.6879299,ROOFTOP,Δ.Δ.Ρογιτίκων,ΔΗΜΟΣ ΠΑΡΑΛΙΑΣ,ΑΧΑΪΑΣ,green,small,"Station ID: 234
Location Type: ROOFTOP
Address: 9 ΧΙΛ ΠΕΟ ΡΟΙΤΙΚΑ ΠΑΤΡΩΝ
Municipality: ΔΗΜΟΣ ΠΑΡΑΛΙΑΣ
County: ΑΧΑΪΑΣ
Coordinates: 38.182593, 21.687930"
240,2ο χλμ ΠΥΡΓΟΥ - ΠΑΤΡΩΝ,37.6836482,21.4183881,ROOFTOP,Δ.Δ.Πύργου,ΔΗΜΟΣ ΠΥΡΓΟΥ,ΗΛΕΙΑΣ,green,small,"Station ID: 240
Location Type: ROOFTOP
Address: 2ο χλμ ΠΥΡΓΟΥ - ΠΑΤΡΩΝ
Municipality: ΔΗΜΟΣ ΠΥΡΓΟΥ
County: ΗΛΕΙΑΣ
Coordinates: 37.683648, 21.418388"
244,95 ΧΙΛ Ε.Ο ΠΑΤΡΩΝ-ΠΥΡΓΟΥ,37.6813178,21.4198913,ROOFTOP,Δ.Δ.Αγίου Γεωργίου,ΔΗΜΟΣ ΠΥΡΓΟΥ,ΗΛΕΙΑΣ,green,small,"Station ID: 244
Location Type: ROOFTOP
Address: 95 ΧΙΛ Ε.Ο ΠΑΤΡΩΝ-ΠΥΡΓΟΥ
Municipality: ΔΗΜΟΣ ΠΥΡΓΟΥ
County: ΗΛΕΙΑΣ
Coordinates: 37.681318, 21.419891"
248,"8,5 ΧΙΛ. ΠΥΡΓΟΥ - ΚΑΤΑΚΟΛΟΥ",37.6767606,21.3691696,APPROXIMATE,Δ.Δ.Σκουροχωρίου,ΔΗΜΟΣ ΠΥΡΓΟΥ,ΗΛΕΙΑΣ,red,large,"Station ID: 248
Location Type: APPROXIMATE
Address: 8,5 ΧΙΛ. ΠΥΡΓΟΥ - ΚΑΤΑΚΟΛΟΥ
Municipality: ΔΗΜΟΣ ΠΥΡΓΟΥ
County: ΗΛΕΙΑΣ
Coordinates: 37.676761, 21.369170"
250,2ο ΧΛΜ ΑΜΑΛΙΑΔΑΣ-ΚΟΥΡΟΥΤΑΣ - 2622038165,37.7819669,21.3221574,ROOFTOP,Δ.Δ.Αμαλιάδος,ΔΗΜΟΣ ΑΜΑΛΙΑΔΟΣ,ΗΛΕΙΑΣ,green,small,"Station ID: 250
Location Type: ROOFTOP
Address: 2ο ΧΛΜ ΑΜΑΛΙΑΔΑΣ-ΚΟΥΡΟΥΤΑΣ - 2622038165
Municipality: ΔΗΜΟΣ ΑΜΑΛΙΑΔΟΣ
County: ΗΛΕΙΑΣ
Coordinates: 37.781967, 21.322157"
256,71 ΧΙΛ ΠΑΤΡΩΝ ΠΥΡΓΟΥ,37.8360256,21.2771403,ROOFTOP,Δ.Δ.Σαβαλίων,ΔΗΜΟΣ ΑΜΑΛΙΑΔΟΣ,ΗΛΕΙΑΣ,green,small,"Station ID: 256
Location Type: ROOFTOP
Address: 71 ΧΙΛ ΠΑΤΡΩΝ ΠΥΡΓΟΥ
Municipality: ΔΗΜΟΣ ΑΜΑΛΙΑΔΟΣ
County: ΗΛΕΙΑΣ
Coordinates: 37.836026, 21.277140"
275,72ΧΛΜ Π.Ε.Ο. ΑΘΗΝΩΝ ΚΟΡΙΝΘΟΥ,37.923842,23.0457166,ROOFTOP,Δ.Δ.Αγίων Θεοδώρων,ΔΗΜΟΣ ΑΓΙΩΝ ΘΕΟΔΩΡΩΝ,ΚΟΡΙΝΘΙΑΣ,green,small,"Station ID: 275
Location Type: ROOFTOP
Address: 72ΧΛΜ Π.Ε.Ο. ΑΘΗΝΩΝ ΚΟΡΙΝΘΟΥ
Municipality: ΔΗΜΟΣ ΑΓΙΩΝ ΘΕΟΔΩΡΩΝ
County: ΚΟΡΙΝΘΙΑΣ
Coordinates: 37.923842, 23.045717"
286,Αυτοκινητόδρομος Κορίνθου-Τριπόλεως στη χιλ. θέση 10+400,37.862726,22.8419783,ROOFTOP,Δ.Δ.Κλένιας,ΔΗΜΟΣ ΤΕΝΕΑΣ,ΚΟΡΙΝΘΙΑΣ,green,small,"Station ID: 286
Location Type: ROOFTOP
Address: Αυτοκινητόδρομος Κορίνθου-Τριπόλεως στη χιλ. θέση 10+400
Municipality: ΔΗΜΟΣ ΤΕΝΕΑΣ
County: ΚΟΡΙΝΘΙΑΣ
Coordinates: 37.862726, 22.841978"
